17-11-2024 - 14:56:52 | knapsack.py:64 | USER [INFO]: capacity: 2.695
17-11-2024 - 14:56:52 | knapsack.py:69 | USER [INFO]: greedy (value: 3.030, weight: 2.595)
17-11-2024 - 14:56:52 | custom.py:24 | CORE [DEBUG]: generated individuals: 100
17-11-2024 - 14:56:52 | custom.py:29 | CORE [DEBUG]: selected individuals: 100
17-11-2024 - 14:56:52 | custom.py:33 | CORE [DEBUG]: couples generated: 50
17-11-2024 - 14:56:52 | custom.py:37 | CORE [DEBUG]: offsprings generated: 82
17-11-2024 - 14:56:52 | custom.py:41 | CORE [DEBUG]: offsprings after mutation: 82
17-11-2024 - 14:56:52 | custom.py:46 | CORE [DEBUG]: offsprings evaluated: 82
17-11-2024 - 14:56:52 | custom.py:50 | CORE [DEBUG]: population size: 132
17-11-2024 - 14:56:52 | custom.py:29 | CORE [DEBUG]: selected individuals: 100
17-11-2024 - 14:56:52 | custom.py:33 | CORE [DEBUG]: couples generated: 50
17-11-2024 - 14:56:52 | custom.py:37 | CORE [DEBUG]: offsprings generated: 82
17-11-2024 - 14:56:52 | custom.py:41 | CORE [DEBUG]: offsprings after mutation: 82
17-11-2024 - 14:56:52 | custom.py:46 | CORE [DEBUG]: offsprings evaluated: 82
17-11-2024 - 14:56:52 | custom.py:50 | CORE [DEBUG]: population size: 148
17-11-2024 - 14:56:52 | custom.py:29 | CORE [DEBUG]: selected individuals: 100
17-11-2024 - 14:56:52 | custom.py:33 | CORE [DEBUG]: couples generated: 50
17-11-2024 - 14:56:52 | custom.py:37 | CORE [DEBUG]: offsprings generated: 96
17-11-2024 - 14:56:52 | custom.py:41 | CORE [DEBUG]: offsprings after mutation: 96
17-11-2024 - 14:56:52 | custom.py:46 | CORE [DEBUG]: offsprings evaluated: 96
17-11-2024 - 14:56:52 | custom.py:50 | CORE [DEBUG]: population size: 170
17-11-2024 - 14:56:52 | custom.py:29 | CORE [DEBUG]: selected individuals: 100
17-11-2024 - 14:56:52 | custom.py:33 | CORE [DEBUG]: couples generated: 50
17-11-2024 - 14:56:52 | custom.py:37 | CORE [DEBUG]: offsprings generated: 78
17-11-2024 - 14:56:52 | custom.py:41 | CORE [DEBUG]: offsprings after mutation: 78
17-11-2024 - 14:56:52 | custom.py:46 | CORE [DEBUG]: offsprings evaluated: 78
17-11-2024 - 14:56:52 | custom.py:50 | CORE [DEBUG]: population size: 163
17-11-2024 - 14:56:52 | custom.py:29 | CORE [DEBUG]: selected individuals: 100
17-11-2024 - 14:56:52 | custom.py:33 | CORE [DEBUG]: couples generated: 50
17-11-2024 - 14:56:52 | custom.py:37 | CORE [DEBUG]: offsprings generated: 84
17-11-2024 - 14:56:52 | custom.py:41 | CORE [DEBUG]: offsprings after mutation: 84
17-11-2024 - 14:56:52 | custom.py:46 | CORE [DEBUG]: offsprings evaluated: 84
17-11-2024 - 14:56:52 | custom.py:50 | CORE [DEBUG]: population size: 166
17-11-2024 - 14:56:52 | custom.py:29 | CORE [DEBUG]: selected individuals: 100
17-11-2024 - 14:56:52 | custom.py:33 | CORE [DEBUG]: couples generated: 50
17-11-2024 - 14:56:52 | custom.py:37 | CORE [DEBUG]: offsprings generated: 80
17-11-2024 - 14:56:52 | custom.py:41 | CORE [DEBUG]: offsprings after mutation: 80
17-11-2024 - 14:56:52 | custom.py:46 | CORE [DEBUG]: offsprings evaluated: 80
17-11-2024 - 14:56:52 | custom.py:50 | CORE [DEBUG]: population size: 163
17-11-2024 - 14:56:52 | custom.py:29 | CORE [DEBUG]: selected individuals: 100
17-11-2024 - 14:56:52 | custom.py:33 | CORE [DEBUG]: couples generated: 50
17-11-2024 - 14:56:52 | custom.py:37 | CORE [DEBUG]: offsprings generated: 76
17-11-2024 - 14:56:52 | custom.py:41 | CORE [DEBUG]: offsprings after mutation: 76
17-11-2024 - 14:56:52 | custom.py:46 | CORE [DEBUG]: offsprings evaluated: 76
17-11-2024 - 14:56:52 | custom.py:50 | CORE [DEBUG]: population size: 158
17-11-2024 - 14:56:52 | custom.py:29 | CORE [DEBUG]: selected individuals: 100
17-11-2024 - 14:56:52 | custom.py:33 | CORE [DEBUG]: couples generated: 50
17-11-2024 - 14:56:52 | custom.py:37 | CORE [DEBUG]: offsprings generated: 78
17-11-2024 - 14:56:52 | custom.py:41 | CORE [DEBUG]: offsprings after mutation: 78
17-11-2024 - 14:56:52 | custom.py:46 | CORE [DEBUG]: offsprings evaluated: 78
17-11-2024 - 14:56:52 | custom.py:50 | CORE [DEBUG]: population size: 157
17-11-2024 - 14:56:52 | custom.py:29 | CORE [DEBUG]: selected individuals: 100
17-11-2024 - 14:56:52 | custom.py:33 | CORE [DEBUG]: couples generated: 50
17-11-2024 - 14:56:52 | custom.py:37 | CORE [DEBUG]: offsprings generated: 78
17-11-2024 - 14:56:52 | custom.py:41 | CORE [DEBUG]: offsprings after mutation: 78
17-11-2024 - 14:56:52 | custom.py:46 | CORE [DEBUG]: offsprings evaluated: 78
17-11-2024 - 14:56:52 | custom.py:50 | CORE [DEBUG]: population size: 156
17-11-2024 - 14:56:52 | custom.py:29 | CORE [DEBUG]: selected individuals: 100
17-11-2024 - 14:56:52 | custom.py:33 | CORE [DEBUG]: couples generated: 50
17-11-2024 - 14:56:52 | custom.py:37 | CORE [DEBUG]: offsprings generated: 78
17-11-2024 - 14:56:52 | custom.py:41 | CORE [DEBUG]: offsprings after mutation: 78
17-11-2024 - 14:56:52 | custom.py:46 | CORE [DEBUG]: offsprings evaluated: 78
17-11-2024 - 14:56:52 | custom.py:50 | CORE [DEBUG]: population size: 156
17-11-2024 - 14:56:52 | custom.py:29 | CORE [DEBUG]: selected individuals: 100
17-11-2024 - 14:56:52 | custom.py:33 | CORE [DEBUG]: couples generated: 50
17-11-2024 - 14:56:52 | custom.py:37 | CORE [DEBUG]: offsprings generated: 82
17-11-2024 - 14:56:52 | custom.py:41 | CORE [DEBUG]: offsprings after mutation: 82
17-11-2024 - 14:56:52 | custom.py:46 | CORE [DEBUG]: offsprings evaluated: 82
17-11-2024 - 14:56:52 | custom.py:50 | CORE [DEBUG]: population size: 160
17-11-2024 - 14:56:52 | custom.py:29 | CORE [DEBUG]: selected individuals: 100
17-11-2024 - 14:56:52 | custom.py:33 | CORE [DEBUG]: couples generated: 50
17-11-2024 - 14:56:52 | custom.py:37 | CORE [DEBUG]: offsprings generated: 80
17-11-2024 - 14:56:52 | custom.py:41 | CORE [DEBUG]: offsprings after mutation: 80
17-11-2024 - 14:56:52 | custom.py:46 | CORE [DEBUG]: offsprings evaluated: 80
17-11-2024 - 14:56:52 | custom.py:50 | CORE [DEBUG]: population size: 160
17-11-2024 - 14:56:52 | custom.py:29 | CORE [DEBUG]: selected individuals: 100
17-11-2024 - 14:56:52 | custom.py:33 | CORE [DEBUG]: couples generated: 50
17-11-2024 - 14:56:52 | custom.py:37 | CORE [DEBUG]: offsprings generated: 86
17-11-2024 - 14:56:52 | custom.py:41 | CORE [DEBUG]: offsprings after mutation: 86
17-11-2024 - 14:56:52 | custom.py:46 | CORE [DEBUG]: offsprings evaluated: 86
17-11-2024 - 14:56:52 | custom.py:50 | CORE [DEBUG]: population size: 166
17-11-2024 - 14:56:52 | custom.py:29 | CORE [DEBUG]: selected individuals: 100
17-11-2024 - 14:56:52 | custom.py:33 | CORE [DEBUG]: couples generated: 50
17-11-2024 - 14:56:52 | custom.py:37 | CORE [DEBUG]: offsprings generated: 74
17-11-2024 - 14:56:52 | custom.py:41 | CORE [DEBUG]: offsprings after mutation: 74
17-11-2024 - 14:56:52 | custom.py:46 | CORE [DEBUG]: offsprings evaluated: 74
17-11-2024 - 14:56:52 | custom.py:50 | CORE [DEBUG]: population size: 157
17-11-2024 - 14:56:52 | custom.py:29 | CORE [DEBUG]: selected individuals: 100
17-11-2024 - 14:56:52 | custom.py:33 | CORE [DEBUG]: couples generated: 50
17-11-2024 - 14:56:52 | custom.py:37 | CORE [DEBUG]: offsprings generated: 76
17-11-2024 - 14:56:52 | custom.py:41 | CORE [DEBUG]: offsprings after mutation: 76
17-11-2024 - 14:56:52 | custom.py:46 | CORE [DEBUG]: offsprings evaluated: 76
